str1, 1.10748, 12302021
str2, 2.56873, 12282021
str3, 3.64787, 12292021
str4, 4.89473, 12012021
str5, 5.76212, 12032021
str6, 6.43785, 09182021
str7, 7.63823, 03192021
str8, 8.64742, 10102021
str9, 9.63748, 06062021
str10, 10.56473, 07152021
str11, 11.34567, 08172021
str12, 12.52478, 03232021
str13, 13.79282, 12052021
str14, 14.29239, 12252021
str15, 15.73803, 04042021
str16, 16.35466, 03032021
str17, 17.64737, 11032021
str18, 18.28980, 11292021
str19, 19.36562, 01072021
str20, 20.43092, 26022021
